#Default

; FreeSpace2.fc2

0, "FreeSpace Blue. Replay the main FreeSpace 2 campaign with rebalanced weapons and enhanced missions. Post suggestions and feedback!"

1, "Special Operations Command has selected you for a dangerous covert assignment. Will you accept?"

2, "Special Operations Command requests your participation in a high-risk rescue mission. Will you volunteer?"

; Training-1.fs2

6, "Blah"

; Loop1-1.fs2

10, ""

13, "Nothing"

; Loop2-2.fs2

14, "Destroy Aries"

; Loop1-1.fs2

15, "Destroy Leo"

16, "Destroy Gemini"

17, "Destroy Virgo"

18, "Destroy Libra"

; Loop1-2.fs2

19, "Destroy Taurus"

; Loop1-3.fs2

20, "Destroy Cancer"

; Loop1-2.fs2

22, "Destroy Pisces"

; Loop2-1.fs2

24, "Return To Base"

; Loop1-1.fs2

44, "Rebels & Renegades"

45, "Snipes and Alpha 1 must scan the Iceni as they escort the rebel command ship to Regulus."

46, "Special Operations Command

You have volunteered for a covert assignment with $w Special $w Operations $w Command $w (SOC), in conjunction with $w Galactic $w Terran-Vasudan $w Intelligence $w (GTVI)$|. 

Our primary objective is to provide the Alliance with accurate and comprehensive information regarding the tactics, technologies, activities, and strategic objectives of forces hostile to the $y GTVA$|."

47, "Your Assignment

Missions with the $w Special $w Operations $w Command are carried out deep in enemy territory, with minimal logistical support. Our behind-the-lines activities include infiltration, sabotage, surgical strikes, and intelligence gathering. 

You will be working undercover within the $h Neo-Terran $h Front, leading Alpha wing of the $w 185th fighter squadron."

48, "Lt. Commander Snipes

Your contact in this mission is $w Lieutenant $w Commander $w Christopher $w Snipes, an allied officer who staged his defection to the $h NTF six months ago. As squadron leader of the $w 185th, $w Snipes will advise you of your mission objectives both as an $h NTF pilot and as an allied operative.

You will be equipped with a device that will enable you and $w Snipes to communicate over a secure frequency in battle. $h NTF ships will interpret your transmissions as targeting data."

49, "The ETAK Project

The focus of this covert operation is the $h NTF's $b ETAK project. Because access to information is restricted to the highest echelon, our knowledge here is limited. $b ETAK involves the development of a new, cutting-edge technology, possibly a weapon of mass destruction. 

$w Admiral $w Bosch oversees the project directly, and the rebels are constructing a prototype on the $h Iceni command ship. We need to get a closer look. Even a scan of the $h Iceni would be valuable."

50, "A Final Warning

We are working with the full cooperation of $f Vasudan $f Tactical $f Command and the $f Terran $f 6th $f Fleet$|. The probability that you will engage allied fighters will be minimal. However, should you come under allied attack, you have limited authorization to return fire in self-defense or to complete your mission objectives as defined by $w Lieutenant $w Commander $w Snipes$|. 

Show restraint, and use your judgement."

51, "This is $w Lieutenant $w Commander $w Snipes$|. For all you replacement pilots, welcome to the $w 185th$|. As you know, $w Admiral $w Koth's defeat in $b Epsilon $b Pegasi has opened the $b Polaris system to allied attack. At 1425 hours, $h GTVA expeditionary forces crossed our jump node blockade. The $h Colossus won't be far behind."

52, "$w Bosch isn't taking chances. We're moving the $f Iceni command ship to the $b Regulus system, where $w Bosch will install his provisional government. We've practiced this drill before, pilots. $f Alpha and $f Beta wing will escort the $f Iceni to the jump node. $f Delta, you're on standby."

53, "The $b Regulus node is located within a small asteroid field. Our job is to clear a path. Asteroids on a collision course with the $f Iceni will be indicated in white brackets on your HUD. That's how you know which asteroids to shoot. The gunners on the $f Iceni will help us out, so we shouldn't have too much trouble."

54, "All right, pilot. I've got some good news and some bad news. Good news is we got the Iceni and the Hinton to Regulus. The scan data you collected has been transmitted to the GTVI, and our operation to uncover the secret of ETAK continues as planned.

The bad news is we're in a lot more danger than I think you realize. The Vasudan warships were under the command of Admiral Ahmose, who had full knowledge of our activities. The fact the Vasudans knew the exact time and position of the Iceni's departure has made the rebels just a little suspicious.

As usual, the GTVA is overplaying its hand. Ahmose and his subordinates now face a court martial for insubordination. The rebs are all over that one. Not only did the Admiral know the position of the Iceni, he wasn't authorized to act on that information. Our squadron will be high on the NTF's list of suspects. 

